ALDER;CIVILSTAND;TID;INDHOLD
84 84 år;U Ugift;2020K1 2020K1;919
85 85 år;G Gift/separeret;2020K1 2020K1;7791
85 85 år;U Ugift;2020K1 2020K1;771
86 86 år;G Gift/separeret;2020K1 2020K1;6301
86 86 år;U Ugift;2020K1 2020K1;693
87 87 år;G Gift/separeret;2020K1 2020K1;4885
87 87 år;U Ugift;2020K1 2020K1;602
88 88 år;G Gift/separeret;2020K1 2020K1;3897
88 88 år;U Ugift;2020K1 2020K1;545
89 89 år;G Gift/separeret;2020K1 2020K1;2934
89 89 år;U Ugift;2020K1 2020K1;490
90 90 år;G Gift/separeret;2020K1 2020K1;2198
90 90 år;U Ugift;2020K1 2020K1;391
91 91 år;G Gift/separeret;2020K1 2020K1;1689
91 91 år;U Ugift;2020K1 2020K1;340
92 92 år;G Gift/separeret;2020K1 2020K1;1174
92 92 år;U Ugift;2020K1 2020K1;268
93 93 år;G Gift/separeret;2020K1 2020K1;837
93 93 år;U Ugift;2020K1 2020K1;213
94 94 år;G Gift/separeret;2020K1 2020K1;527
94 94 år;U Ugift;2020K1 2020K1;187
95 95 år;G Gift/separeret;2020K1 2020K1;303
95 95 år;U Ugift;2020K1 2020K1;142
96 96 år;G Gift/separeret;2020K1 2020K1;171
96 96 år;U Ugift;2020K1 2020K1;90
97 97 år;G Gift/separeret;2020K1 2020K1;110
97 97 år;U Ugift;2020K1 2020K1;63
98 98 år;G Gift/separeret;2020K1 2020K1;51
98 98 år;U Ugift;2020K1 2020K1;66
99 99 år;G Gift/separeret;2020K1 2020K1;40
99 99 år;U Ugift;2020K1 2020K1;41
100 100 år;G Gift/separeret;2020K1 2020K1;18
100 100 år;U Ugift;2020K1 2020K1;12
101 101 år;G Gift/separeret;2020K1 2020K1;13
101 101 år;U Ugift;2020K1 2020K1;13
102 102 år;G Gift/separeret;2020K1 2020K1;4
102 102 år;U Ugift;2020K1 2020K1;8
103 103 år;G Gift/separeret;2020K1 2020K1;3
103 103 år;U Ugift;2020K1 2020K1;4
104 104 år;G Gift/separeret;2020K1 2020K1;0
104 104 år;U Ugift;2020K1 2020K1;3
105 105 år;G Gift/separeret;2020K1 2020K1;0
105 105 år;U Ugift;2020K1 2020K1;2
106 106 år;G Gift/separeret;2020K1 2020K1;1
106 106 år;U Ugift;2020K1 2020K1;0
107 107 år;G Gift/separeret;2020K1 2020K1;0
107 107 år;U Ugift;2020K1 2020K1;1
108 108 år;G Gift/separeret;2020K1 2020K1;0
108 108 år;U Ugift;2020K1 2020K1;0
109 109 år;G Gift/separeret;2020K1 2020K1;0
109 109 år;U Ugift;2020K1 2020K1;0
110 110 år;G Gift/separeret;2020K1 2020K1;0
110 110 år;U Ugift;2020K1 2020K1;0
111 111 år;G Gift/separeret;2020K1 2020K1;0
111 111 år;U Ugift;2020K1 2020K1;0
112 112 år;G Gift/separeret;2020K1 2020K1;0
112 112 år;U Ugift;2020K1 2020K1;0
113 113 år;G Gift/separeret;2020K1 2020K1;0
113 113 år;U Ugift;2020K1 2020K1;0
114 114 år;G Gift/separeret;2020K1 2020K1;0
114 114 år;U Ugift;2020K1 2020K1;0
115 115 år;G Gift/separeret;2020K1 2020K1;0
115 115 år;U Ugift;2020K1 2020K1;0
116 116 år;G Gift/separeret;2020K1 2020K1;0
116 116 år;U Ugift;2020K1 2020K1;0
117 117 år;G Gift/separeret;2020K1 2020K1;0
117 117 år;U Ugift;2020K1 2020K1;0
118 118 år;G Gift/separeret;2020K1 2020K1;0
118 118 år;U Ugift;2020K1 2020K1;0
119 119 år;G Gift/separeret;2020K1 2020K1;0
119 119 år;U Ugift;2020K1 2020K1;0
120 120 år;G Gift/separeret;2020K1 2020K1;0
120 120 år;U Ugift;2020K1 2020K1;0
121 121 år;G Gift/separeret;2020K1 2020K1;0
121 121 år;U Ugift;2020K1 2020K1;0
122 122 år;G Gift/separeret;2020K1 2020K1;0
122 122 år;U Ugift;2020K1 2020K1;0
123 123 år;G Gift/separeret;2020K1 2020K1;0
123 123 år;U Ugift;2020K1 2020K1;0
124 124 år;G Gift/separeret;2020K1 2020K1;0
124 124 år;U Ugift;2020K1 2020K1;0
125 125 år;G Gift/separeret;2020K1 2020K1;0
125 125 år;U Ugift;2020K1 2020K1;0
